"filename", "language", "YAML", "JSON", "Markdown", "JSON with Comments", "JavaScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\Git\Note\note_hexo\_config.yml", "YAML", 104, 0, 0, 0, 0, 0, 0, 0, 36, 18, 158
"d:\Git\Note\note_hexo\package.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"d:\Git\Note\note_hexo\scaffolds\draft.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Git\Note\note_hexo\scaffolds\page.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Git\Note\note_hexo\scaffolds\post.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Git\Note\note_hexo\source\_posts\0392a0e3ceaeed8b3de4b915d8129b9bc39ecb46.md", "Markdown", 0, 0, 473, 0, 0, 0, 0, 0, 0, 143, 616
"d:\Git\Note\note_hexo\source\_posts\053607f1ecbb56d63ebb7de4259e83a4be807ce6.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 18, 56
"d:\Git\Note\note_hexo\source\_posts\07578cff2dd4bfd8c55f223f930878824a64ceaa.md", "Markdown", 0, 0, 223, 0, 0, 0, 0, 0, 0, 107, 330
"d:\Git\Note\note_hexo\source\_posts\0951b49d41f9fcd124f4e34b6dcdd3a8b3c57776.md", "Markdown", 0, 0, 188, 0, 0, 0, 0, 0, 0, 90, 278
"d:\Git\Note\note_hexo\source\_posts\0b3130ada3d0531d62d35d48e876a299c5888b77.md", "Markdown", 0, 0, 81, 0, 0, 0, 0, 0, 0, 38, 119
"d:\Git\Note\note_hexo\source\_posts\0c32955781debd23d9593f3ed51d05fde4a7304f.md", "Markdown", 0, 0, 89, 0, 0, 0, 0, 0, 0, 33, 122
"d:\Git\Note\note_hexo\source\_posts\10d99ef2a6dd035cac70c5f8def086cda109f1ad.md", "Markdown", 0, 0, 41, 0, 0, 0, 0, 0, 0, 27, 68
