Date : 2024-10-31 15:55:43
Directory : d:\Git\Note\note_hexo
Total : 260 files,  30636 codes, 1299 comments, 9029 blanks, all 40964 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Markdown           |        109 |     16,134 |          7 |      7,540 |     23,681 |
| JavaScript         |         70 |      7,588 |        648 |        870 |      9,106 |
| YAML               |         40 |      2,922 |        593 |        300 |      3,815 |
| HTML               |         24 |      1,255 |         26 |        117 |      1,398 |
| CSS                |          1 |      1,043 |         15 |        125 |      1,183 |
| XML                |         11 |        893 |         10 |         73 |        976 |
| JSON               |          4 |        797 |          0 |          3 |        800 |
| JSON with Comments |          1 |          4 |          0 |          1 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |        260 |     30,636 |      1,299 |      9,029 |     40,964 |
| . (Files)                                                                         |          2 |        138 |         36 |         19 |        193 |
| scaffolds                                                                         |          3 |         13 |          0 |          3 |         16 |
| source                                                                            |         88 |     14,487 |          0 |      6,952 |     21,439 |
| source\_posts                                                                     |         86 |     14,475 |          0 |      6,950 |     21,425 |
| source\categories                                                                 |          1 |          6 |          0 |          1 |          7 |
| source\tags                                                                       |          1 |          6 |          0 |          1 |          7 |
| themes                                                                            |        167 |     15,998 |      1,263 |      2,055 |     19,316 |
| themes\3hexo                                                                      |         41 |      8,393 |        603 |        728 |      9,724 |
| themes\3hexo (Files)                                                              |          2 |        216 |        120 |         54 |        390 |
| themes\3hexo\languages                                                            |          2 |         68 |          0 |          0 |         68 |
| themes\3hexo\layout                                                               |         25 |      1,262 |         26 |        123 |      1,411 |
| themes\3hexo\layout (Files)                                                       |          3 |        123 |          7 |          8 |        138 |
| themes\3hexo\layout\_partial                                                      |         22 |      1,139 |         19 |        115 |      1,273 |
| themes\3hexo\layout\_partial (Files)                                              |         15 |        997 |         16 |        106 |      1,119 |
| themes\3hexo\layout\_partial\comments                                             |          7 |        142 |          3 |          9 |        154 |
| themes\3hexo\source                                                               |         12 |      6,847 |        457 |        551 |      7,855 |
| themes\3hexo\source\css                                                           |          4 |      1,841 |         18 |        190 |      2,049 |
| themes\3hexo\source\css (Files)                                                   |          1 |      1,043 |         15 |        125 |      1,183 |
| themes\3hexo\source\css\fonts                                                     |          3 |        798 |          3 |         65 |        866 |
| themes\3hexo\source\js                                                            |          8 |      5,006 |        439 |        361 |      5,806 |
| themes\next                                                                       |        126 |      7,605 |        660 |      1,327 |      9,592 |
| themes\next (Files)                                                               |          8 |        720 |        417 |        231 |      1,368 |
| themes\next\.github                                                               |         19 |        527 |         27 |        217 |        771 |
| themes\next\.github (Files)                                                       |          9 |        309 |         24 |        123 |        456 |
| themes\next\.github\ISSUE_TEMPLATE                                                |          4 |        119 |          0 |         76 |        195 |
| themes\next\.github\workflows                                                     |          6 |         99 |          3 |         18 |        120 |
| themes\next\docs                                                                  |          6 |      1,036 |          0 |        314 |      1,350 |
| themes\next\docs (Files)                                                          |          2 |        622 |          0 |        115 |        737 |
| themes\next\docs\ru                                                               |          1 |        112 |          0 |         57 |        169 |
| themes\next\docs\zh-CN                                                            |          3 |        302 |          0 |        142 |        444 |
| themes\next\languages                                                             |         22 |      1,929 |          0 |         48 |      1,977 |
| themes\next\scripts                                                               |         37 |        988 |        120 |        252 |      1,360 |
| themes\next\scripts (Files)                                                       |          2 |         55 |          3 |          9 |         67 |
| themes\next\scripts\events                                                        |          6 |        246 |         19 |         34 |        299 |
| themes\next\scripts\events (Files)                                                |          1 |         21 |          5 |          4 |         30 |
| themes\next\scripts\events\lib                                                    |          5 |        225 |         14 |         30 |        269 |
| themes\next\scripts\filters                                                       |         12 |        251 |         32 |         86 |        369 |
| themes\next\scripts\filters (Files)                                               |          4 |         85 |         12 |         28 |        125 |
| themes\next\scripts\filters\comment                                               |          8 |        166 |         20 |         58 |        244 |
| themes\next\scripts\helpers                                                       |          5 |        181 |         23 |         36 |        240 |
| themes\next\scripts\tags                                                          |         12 |        255 |         43 |         87 |        385 |
| themes\next\source                                                                |         17 |      1,933 |         96 |        139 |      2,168 |
| themes\next\source\images                                                         |          9 |        811 |          7 |          8 |        826 |
| themes\next\source\js                                                             |          8 |      1,122 |         89 |        131 |      1,342 |
